Attending Coll./Univ. (%),African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,First Language Not English %,English Language Learner %,Students With Disabilities %,High Needs %,Salary Totals,Average Salary,FTE Count,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,Students,Students Disciplined,% In-School Suspension,% Out-of-School Suspension,% Expulsion,% Removed to Alternate Setting
63.2,3.9,1.6,36.9,54.4,0.1,0.1,3.0,53.0,47.0,12.9,6.0,18.5,61.3,"     $44,552,709","  $72,185",    617,"         $112,864,906.00","           7,536.7","              $14,975.37","         $119,450,646.00","           8,052.2","              $14,834.54","   8,045",     465,3.1,3.7,0.0,0.0
69.8,4.0,1.4,24.3,68.4,0.1,0.1,1.8,53.4,46.6,22.7,8.6,21.1,51.1,"     $10,050,569","  $66,428",    151,"          $24,613,145.00","           1,848.8","              $13,313.04","          $30,724,346.00","           2,156.9","              $14,244.68","   1,974",      80,1.2,3.4,0.0,0.0
89.4,3.0,2.4,1.2,92.0,0.2,0.0,1.2,51.5,48.5,0.6,0.3,13.0,17.1,"     $10,185,326","  $89,739",    114,"          $25,251,856.00","           1,578.2","              $16,000.42","          $27,114,208.00","           1,599.3","              $16,953.80","   1,589",      11,0.1,0.6,0.0,0.0
89.9,4.1,8.9,4.5,78.7,0.0,0.0,3.8,47.9,52.0,5.1,0.2,18.8,23.0,"     $10,529,788"," $102,630",    103,"          $25,677,750.00","           1,265.3","              $20,293.80","          $29,554,692.00","           1,315.2","              $22,471.63","   1,277",      53,0.1,4.1,0.0,0.0
87.0,2.0,2.7,7.2,85.2,0.2,0.1,2.6,51.3,48.7,2.1,0.9,16.6,29.3,"     $21,295,833","  $78,007",    273,"          $54,664,905.00","           3,486.1","              $15,680.82","          $59,747,278.00","           3,594.5","              $16,621.86","   3,568",      60,0.9,1.1,0.0,0.0
87.1,1.4,0.5,3.2,89.0,0.0,0.0,5.8,53.0,47.0,5.0,2.5,14.4,33.0,"     $21,184,838","  $77,109",    275,"          $48,140,604.00","           3,681.3","              $13,077.07","          $52,649,664.00","           3,760.2","              $14,001.83","   3,783",      35,0.3,0.7,0.0,0.0
77.2,7.1,2.7,14.6,71.3,0.2,0.0,4.1,51.7,48.3,13.7,7.1,22.6,41.0,"     $19,381,836","  $79,564",    244,"          $51,561,577.00","           2,672.9","              $19,290.50","          $55,884,639.00","           2,754.1","              $20,291.43","   2,777",      95,1.7,2.5,0.0,0.0
76.6,9.2,2.3,11.1,68.8,2.1,0.2,6.3,51.8,48.2,16.7,8.5,19.5,55.5,"     $21,333,980","  $74,673",    286,"          $51,328,467.00","           3,000.6","              $17,106.07","          $56,065,968.00","           3,553.6","              $15,777.23","   3,247",     135,1.9,3.0,0.0,0.0
77.5,1.1,1.2,4.4,89.8,0.1,0.0,3.3,52.0,48.0,1.0,0.2,14.3,25.7,"     $16,455,190","  $72,299",    228,"          $40,343,700.00","           2,895.1","              $13,935.17","          $43,392,006.00","           2,963.8","              $14,640.67","   2,966",      75,2.2,1.1,0.0,0.0
70.8,0.2,1.2,3.4,92.6,0.1,0.2,2.3,51.2,48.8,0.5,0.4,19.0,30.3,"      $6,550,786","  $69,468",     94,"          $17,187,516.00","           1,296.7","              $13,254.81","          $20,244,394.00","           1,396.2","              $14,499.64","   1,370",      12,0.3,0.7,0.0,0.0
92.0,2.3,8.8,2.9,81.5,0.2,0.0,4.2,50.5,49.5,3.9,0.6,16.5,20.3,"     $10,159,429","  $94,331",    108,"          $24,174,137.00","           1,175.0","              $20,573.73","          $25,388,616.00","           1,210.7","              $20,970.20","   1,204",      15,0.2,1.2,0.0,0.0
84.2,5.9,6.1,8.3,77.7,0.1,0.1,1.8,50.9,49.1,4.1,2.0,16.4,35.7,"     $15,943,505","  $76,066",    210,"          $41,541,654.00","           3,584.7","              $11,588.60","          $48,877,695.00","           3,965.2","              $12,326.67","   3,707",      95,0.1,2.5,0.0,0.0
80.8,1.7,1.3,8.0,86.1,0.2,0.1,2.6,50.9,49.1,6.8,2.2,14.0,30.8,"     $19,208,540","  $70,594",    272,"          $46,863,908.00","           3,931.6","              $11,919.81","          $50,590,276.00","           4,032.0","              $12,547.19","   4,040",     134,2.7,1.5,0.0,0.0
88.8,0.3,1.4,2.3,93.0,0.1,0.0,3.0,50.3,49.7,1.4,0.5,13.9,18.8,"     $18,922,183","  $82,702",    229,"          $45,826,751.00","           3,070.1","              $14,926.79","          $47,728,900.00","           3,121.8","              $15,288.90","   3,142",      36,0.9,0.5,0.0,0.0
76.1,3.0,0.7,2.2,90.8,0.4,0.1,2.9,50.5,49.5,1.1,0.8,19.1,31.5,"     $11,206,254","  $72,485",    155,"          $27,479,090.00","           2,289.9","              $12,000.13","          $30,246,794.00","           2,369.1","              $12,767.21","   2,342",     112,4.1,1.2,0.0,0.0
89.3,2.9,5.4,7.1,81.9,0.2,0.1,2.4,51.6,48.4,7.4,2.3,17.5,32.9,"     $15,386,470","  $74,655",    206,"          $38,308,310.00","           2,670.8","              $14,343.38","          $42,304,355.00","           2,762.9","              $15,311.58","   2,696",      62,0.1,2.2,0.0,0.0
67.0,1.4,3.8,12.2,79.6,0.3,0.1,2.7,51.0,49.0,5.8,1.9,17.8,41.4,"      $7,882,715","  $67,605",    117,"          $22,347,240.00","           1,557.0","              $14,352.76","          $27,570,761.00","           1,870.3","              $14,741.36","   1,610",     104,4.5,3.6,0.0,0.0
89.7,5.7,3.1,4.7,83.1,0.3,0.1,3.0,49.9,50.1,4.2,1.3,17.7,26.8,"     $20,985,465","  $77,666",    270,"          $49,188,987.00","           3,704.0","              $13,279.96","          $53,352,585.00","           3,794.6","              $14,060.13","   3,804",      93,1.1,1.6,0.0,0.0
64.7,1.2,1.4,11.6,82.3,0.3,0.1,3.0,41.6,58.2,6.9,0.3,17.8,32.9,"      $9,227,303","  $75,202",    123,"          $25,127,689.00","           1,346.8","              $18,657.33","          $25,544,950.00","           1,354.8","              $18,855.14","   1,386",      15,0.0,1.1,0.0,0.0
65.9,16.5,4.9,52.1,24.4,0.4,0.1,1.7,51.3,48.7,64.4,20.3,16.5,67.9,"     $45,089,044","  $85,315",    529,"          $99,385,161.00","           7,111.1","              $13,976.06","         $117,385,769.00","           8,052.4","              $14,577.74","   7,726",     396,2.6,3.2,0.0,0.0
77.7,1.5,1.8,5.8,86.7,0.5,0.0,3.6,50.0,50.0,3.7,1.9,15.3,38.6,"     $10,356,827","  $71,476",    145,"          $24,455,361.00","           2,053.5","              $11,909.11","          $26,504,962.00","           2,104.5","              $12,594.42","   2,116",      16,0.4,0.4,0.0,0.0
56.2,7.8,4.1,26.0,53.5,0.2,0.1,8.2,51.5,48.5,23.8,15.2,20.5,75.5,"     $53,341,961","  $65,614",    813,"         $148,831,642.00","          10,174.3","              $14,628.19","         $179,686,431.00","          12,051.3","              $14,910.13","  10,977","   1,057",4.3,6.7,0.0,0.6
74.5,4.9,2.2,5.6,79.9,1.2,0.1,6.2,51.1,48.8,6.8,3.1,17.0,41.5,"     $22,936,360","  $78,362",    293,"          $61,475,261.00","           3,369.9","              $18,242.46","          $66,213,578.00","           3,554.1","              $18,630.20","   3,490",     194,4.5,2.6,0.0,0.0
46.8,5.9,4.9,50.5,31.4,0.0,0.1,7.1,51.3,48.7,32.7,13.8,23.9,71.1,"     $26,840,704","  $73,235",    367,"          $71,497,580.00","           5,300.7","              $13,488.33","          $87,566,076.00","           6,051.2","              $14,470.86","   5,937",     282,2.1,2.3,0.0,0.0
88.0,4.4,4.0,4.8,84.1,0.4,0.1,2.3,52.2,47.8,3.2,2.2,18.2,29.1,"     $17,988,945","  $87,537",    206,"          $43,372,858.00","           2,606.5","              $16,640.27","          $47,725,183.00","           2,754.6","              $17,325.63","   2,662",      96,1.7,2.1,0.0,0.0
72.6,7.0,5.1,27.1,56.8,0.1,0.1,3.8,50.7,49.3,44.0,21.9,22.4,57.0,"     $60,084,577","  $90,639",    663,"         $156,299,773.00","           8,770.7","              $17,820.67","         $182,205,782.00","           9,495.7","              $19,188.24","   9,270",     509,2.2,4.5,0.0,0.0
86.2,1.6,5.2,2.9,87.8,0.2,0.5,1.8,51.7,48.3,5.3,1.4,15.2,23.0,"     $30,218,416","  $74,204",    407,"          $71,381,015.00","           5,289.9","              $13,493.83","          $83,573,865.00","           5,740.1","              $14,559.65","   5,422",      13,0.2,0.0,0.0,0.0
27.9,1.2,0.2,2.7,95.7,0.0,0.0,0.2,69.4,30.6,0.2,0.2,31.6,53.6,"      $3,887,599","  $77,752",     50,"          $12,082,994.00",             465.2,"              $25,973.76","          $12,086,894.00",             466.0,"              $25,937.54",     493,      64,8.7,7.1,0.0,0.2
83.0,1.4,0.9,1.6,94.1,0.1,0.1,1.8,50.6,49.4,1.1,0.6,15.4,28.7,"     $14,661,930","  $75,616",    194,"          $36,091,489.00","           2,810.3","              $12,842.58","          $39,768,347.00","           2,930.8","              $13,569.11","   2,898",      72,1.1,1.8,0.0,0.0
71.4,2.7,1.7,17.6,70.0,0.2,0.0,7.8,51.8,48.1,7.7,3.7,22.7,60.7,"     $11,170,800","  $64,721",    173,"          $30,901,123.00","           2,338.7","              $13,212.95","          $34,665,180.00","           2,692.0","              $12,877.11","   2,525",     121,0.4,4.5,0.0,0.1
63.4,0.8,0.2,3.9,92.4,0.4,0.1,2.2,51.9,48.1,3.6,2.8,21.1,44.0,"      $4,838,523","  $61,874",     78,"          $14,854,427.00",             830.8,"              $17,879.67","          $16,014,794.00",             936.3,"              $17,104.34",     870,      15,0.9,0.9,0.0,0.0
68.5,1.0,0.3,11.0,80.6,0.2,0.2,6.7,50.6,49.4,8.4,6.7,22.4,57.2,"      $5,764,514","  $61,785",     93,"          $17,689,927.00",             972.4,"              $18,192.03","          $21,282,988.00","           1,285.8","              $16,552.33","   1,017",      85,6.3,3.2,0.0,0.0
61.6,1.8,1.4,9.9,83.1,0.3,0.3,3.2,51.8,48.2,9.4,5.6,25.3,51.7,"     $20,542,947","  $79,686",    258,"          $49,358,833.00","           2,931.7","              $16,836.25","          $55,919,791.00","           3,313.1","              $16,878.39","   3,004",     145,0.5,4.3,0.0,0.0
85.3,1.3,11.5,4.5,79.3,0.1,0.1,3.1,51.8,48.2,2.7,1.1,17.9,26.4,"     $17,199,726","  $71,191",    242,"          $38,603,916.00","           3,133.0","              $12,321.71","          $41,348,860.00","           3,241.1","              $12,757.66","   3,253",      84,1.8,1.2,0.0,0.0
71.4,0.1,2.0,8.4,86.0,0.4,0.0,3.0,53.2,46.8,6.1,4.0,15.4,35.9,"      $3,477,941","  $61,017",     57,"           $9,578,305.00",             712.4,"              $13,445.12","          $10,969,230.00",             806.6,"              $13,599.34",     723,      31,2.8,3.5,0.0,0.0
54.7,2.3,1.7,9.8,79.5,0.5,0.1,6.1,55.8,44.2,5.9,2.2,10.5,44.7,"     $11,952,130","  $88,863",    135,"          $28,318,360.00","           1,427.8","              $19,833.56","          $28,367,810.00","           1,437.3","              $19,736.87","   1,413",      12,0.1,0.8,0.0,0.0
54.9,0.9,1.2,82.0,15.8,0.1,0.0,0.0,49.9,50.1,44.8,12.4,20.5,70.6,"     $11,979,509","  $83,133",    144,"          $32,894,438.00","           1,473.7","              $22,320.99","          $32,971,411.00","           1,510.6","              $21,826.70","   1,524",     134,2.0,7.9,0.0,0.0
43.2,3.7,16.3,32.2,44.2,0.3,0.0,3.3,55.4,44.6,25.9,6.3,21.3,60.9,"     $15,695,950","  $84,843",    185,"          $44,158,618.00","           2,269.9","              $19,453.99","          $44,360,563.00","           2,307.2","              $19,227.01","   2,277",     215,5.2,5.7,0.0,0.0
55.1,8.1,0.8,21.6,65.1,0.5,0.0,3.9,50.3,49.7,20.8,3.1,11.1,48.1,"     $16,179,106","  $81,507",    199,"          $41,907,659.00","           2,114.6","              $19,818.24","          $41,927,559.00","           2,118.6","              $19,790.22","   2,170",     188,5.8,3.7,0.0,0.0
64.0,2.2,1.5,18.1,72.5,0.0,0.0,5.7,52.1,47.9,8.6,5.2,17.5,56.1,"      $9,900,296","  $62,149",    159,"          $25,848,667.00","           1,700.3","              $15,202.42","          $32,484,051.00","           2,177.0","              $14,921.48","   1,801",     156,2.8,7.1,0.0,0.0
92.4,0.7,6.1,1.8,89.1,0.2,0.1,1.9,50.8,49.2,2.3,0.8,16.5,22.2,"     $14,036,234","  $79,346",    177,"          $36,403,829.00","           2,428.5","              $14,990.25","          $39,631,362.00","           2,539.4","              $15,606.58","   2,474",      22,0.1,0.8,0.0,0.0
85.3,2.5,1.7,8.9,80.2,0.4,2.6,3.8,52.7,47.3,6.8,3.2,16.1,29.7,"      $3,468,539","  $70,356",     49,"           $8,302,568.00",             527.9,"              $15,727.54","          $10,925,670.00",             675.1,"              $16,183.78",     551,       8,0.5,1.3,0.0,0.0
90.8,0.7,3.5,4.0,89.2,0.2,0.3,2.1,48.9,51.1,1.6,0.5,16.4,21.7,"     $11,825,337","  $81,051",    146,"          $29,717,879.00","           1,751.9","              $16,963.23","          $33,303,241.00","           1,813.7","              $18,362.04","   1,799",      15,0.4,0.7,0.0,0.0
83.1,2.5,2.5,5.9,85.7,0.2,0.1,3.1,49.6,50.4,2.7,0.9,14.9,25.9,"     $16,573,202","  $78,733",    210,"          $45,857,534.00","           3,068.2","              $14,946.07","          $48,790,942.00","           3,134.3","              $15,566.77","   3,141",     123,2.2,2.4,0.0,0.0
76.6,0.6,0.7,3.3,93.2,0.0,0.0,2.3,45.5,54.5,3.3,1.0,20.6,31.5,"      $5,120,491","  $70,048",     73,"          $12,847,849.00",             701.5,"              $18,314.82","          $14,954,591.00",             811.8,"              $18,421.52",     715,      14,0.0,2.0,0.0,0.0
91.3,0.8,2.2,1.8,94.8,0.0,0.0,0.5,52.7,47.2,2.7,0.8,19.2,25.2,"     $16,469,785","  $80,616",    204,"          $36,650,297.00","           2,616.8","              $14,005.77","          $39,119,785.00","           2,676.6","              $14,615.48","   2,637",      23,0.0,0.8,0.0,0.0
88.3,2.4,11.1,4.6,79.4,0.0,0.0,2.6,50.3,49.6,5.1,1.7,12.1,17.2,"      $7,650,945","  $85,200",     90,"          $18,473,020.00","           1,101.8","              $16,766.22","          $20,581,536.00","           1,142.4","              $18,016.05","   1,128",       9,0.5,0.4,0.0,0.0
